xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMag,yMag,zMag
-0.01,-0.55,0.59,13.61,-2.50,10.68,34.97,50.56,-18.30
-0.01,-0.55,0.59,13.61,-6.96,13.55,35.27,49.52,-19.37
-0.04,-0.64,0.79,-1.83,-2.08,1.83,35.56,49.15,-19.58
-0.04,-0.64,0.79,-1.83,-2.08,1.83,35.56,49.15,-19.58
-0.02,-0.58,1.00,21.73,19.47,-6.23,35.31,50.26,-17.46
-0.02,-0.58,1.00,46.63,23.25,-6.90,35.31,50.26,-17.46
-0.01,-0.71,0.77,16.60,19.78,-27.22,34.64,50.49,-15.14
-0.01,-0.71,0.77,12.33,23.25,-37.35,33.80,51.60,-15.05
-0.01,-0.69,0.80,-49.07,37.35,-78.37,31.90,53.81,-15.30
-0.03,-0.70,0.68,-26.00,40.53,-67.20,31.90,53.81,-15.30
-0.03,-0.70,0.68,-26.00,40.53,-67.20,31.90,53.81,-15.30
-0.02,-0.72,0.62,-14.83,37.78,-52.19,31.90,53.81,-15.30
-0.02,-0.72,0.62,-14.83,37.78,-39.55,31.90,53.81,-15.30
-0.02,-0.45,0.78,-36.62,4.27,-15.62,28.45,54.81,-20.75
-0.02,-0.45,0.78,-36.62,3.30,-18.07,28.45,54.81,-20.75
-0.03,-0.45,0.79,-34.91,3.30,-18.07,28.45,54.81,-20.75
-0.01,-0.46,0.85,-28.56,4.21,-21.18,28.45,54.81,-20.75
-0.01,-0.46,0.85,-28.56,4.21,-21.18,26.86,54.99,-21.96
-0.02,-0.46,0.78,-20.20,8.85,-23.25,26.86,54.99,-21.96
-0.02,-0.46,0.78,-20.20,8.85,-23.25,26.86,54.99,-21.96
-0.39,-0.31,0.98,92.04,39.43,15.38,27.26,54.88,-22.85
-0.39,-0.31,0.98,92.04,39.43,15.38,27.26,54.88,-22.85
-0.10,-0.25,-0.09,-185.12,-206.48,-45.23,30.26,53.96,-16.66
-0.10,-0.32,0.50,-280.46,-268.74,-43.27,30.26,53.96,-16.66
-0.17,-0.32,0.50,-280.46,-268.74,-43.27,30.26,53.96,-16.66
-0.13,-0.33,1.35,-260.13,-311.22,-33.20,26.64,53.64,-26.53
-0.13,-0.33,1.35,-260.13,-311.22,-33.20,26.64,53.64,-26.53
-0.04,-0.49,1.50,-163.76,-290.16,-25.09,26.64,53.64,-26.53
-0.04,-0.49,1.50,-163.76,-262.27,-9.03,26.64,53.64,-26.53
-0.17,-0.29,1.19,-61.40,-224.98,8.79,26.64,53.64,-26.53
-0.17,-0.29,1.19,-61.40,-224.98,8.79,26.64,53.64,-26.53
-0.19,-0.29,0.80,-5.00,-205.81,13.49,26.64,53.64,-26.53
-0.19,-0.29,0.80,-5.00,-205.81,13.49,26.64,53.64,-26.53
-0.33,-0.40,0.71,37.84,-205.81,4.52,26.64,53.64,-26.53
-0.33,-0.40,0.71,72.63,-214.90,-5.19,22.64,53.14,-32.18
-0.41,-0.57,0.71,72.63,-214.90,-5.19,22.64,53.14,-32.18
-0.32,-0.61,0.88,82.70,-225.83,-8.97,22.64,53.14,-32.18
-0.32,-0.61,0.88,82.70,-225.83,-8.97,22.64,53.14,-32.18
-0.34,-0.55,0.97,88.50,-219.06,-0.73,22.64,53.14,-32.18
-0.34,-0.55,0.97,88.50,-219.06,-0.73,22.64,53.14,-32.18
-0.40,-0.45,0.91,89.90,-199.52,8.67,22.64,53.14,-32.18
-0.40,-0.45,1.10,69.70,-186.28,7.57,22.64,53.14,-32.18
-0.55,-0.53,1.11,69.70,-186.28,7.57,22.64,53.14,-32.18
-0.66,-0.62,1.11,69.21,-153.87,-2.93,22.64,53.14,-32.18
-0.66,-0.62,1.11,69.21,-153.87,-2.93,19.58,55.30,-32.85
-0.86,-0.73,1.23,51.76,-115.42,-5.31,19.58,55.30,-32.85
-0.86,-0.73,1.23,51.76,-115.42,-5.31,19.58,55.30,-32.85
-0.64,-0.79,1.23,15.56,-70.74,-5.49,19.58,55.30,-32.85
-0.64,-0.85,0.77,0.06,-23.25,2.81,19.58,55.30,-32.85
-0.26,-0.85,0.77,0.06,-23.25,2.81,19.58,55.30,-32.85
-0.49,-0.38,1.00,-16.24,-5.92,35.28,19.58,55.30,-32.85
-0.49,-0.38,1.00,-16.24,-5.92,35.28,19.58,55.30,-32.85
-0.34,-0.32,0.65,-29.11,18.55,37.78,19.58,55.30,-32.85
-0.34,-0.32,0.65,-29.11,23.07,24.54,19.58,55.30,-32.85
-0.30,-0.34,0.51,-24.60,23.07,24.54,19.58,55.30,-32.85
-0.31,-0.43,0.46,-33.69,2.32,16.97,19.79,53.81,-33.18
-0.31,-0.43,0.46,-33.69,2.32,16.97,19.79,53.81,-33.18
-0.48,-0.43,0.83,-23.62,-16.85,15.32,19.79,53.81,-33.18
-0.48,-0.43,0.83,-23.62,-16.85,15.32,19.79,53.81,-33.18
