xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMag,yMag,zMag
-0.11,-0.53,0.83,5.80,6.29,-5.80,-15.06,30.11,-27.80
-0.11,-0.53,0.83,5.80,6.29,-5.80,-15.06,30.11,-27.80
-0.42,-0.80,0.77,-1.10,11.17,-18.19,-15.06,30.11,-27.80
-0.42,-0.80,0.77,-1.10,11.17,-18.19,-15.06,30.11,-28.44
-0.06,-0.65,0.71,7.93,9.70,-12.02,-15.20,30.07,-28.44
-0.06,-0.65,0.71,3.36,-2.32,3.66,-15.20,30.07,-28.44
-0.02,-0.63,0.85,3.11,4.33,-12.08,-15.20,30.07,-28.44
-0.02,-0.63,0.85,8.67,6.77,-9.46,-15.20,30.07,-28.44
-0.01,-0.62,0.77,8.67,6.77,-9.46,-15.20,30.07,-28.44
-0.04,-0.58,0.77,-13.49,-17.33,-11.96,-15.31,29.50,-28.43
-0.04,-0.58,0.77,-15.44,-27.95,-13.85,-15.31,29.50,-28.43
-0.04,-0.68,1.11,42.54,-47.24,-22.40,-17.74,29.41,-28.17
-0.04,-0.68,1.11,-11.05,-72.33,-31.80,-17.74,29.41,-28.17
-0.08,-0.56,0.85,-11.05,-72.33,-31.80,-17.74,29.41,-28.17
-0.21,-0.59,0.81,-32.71,-85.02,-37.17,-17.74,29.41,-28.17
-0.21,-0.59,0.81,-32.71,-85.02,-37.17,-20.98,28.42,-25.55
-0.28,-0.60,0.82,-35.83,-88.38,-36.80,-20.98,28.42,-25.55
-0.28,-0.60,0.82,-35.83,-88.38,-33.63,-20.98,28.42,-25.55
-0.22,-0.53,0.85,-39.67,-95.15,-33.63,-20.98,28.42,-25.55
-0.25,-0.52,0.86,-42.85,-101.62,-33.45,-20.98,28.42,-25.55
-0.25,-0.52,0.86,-42.85,-101.62,-33.45,-20.98,28.42,-25.55
-0.26,-0.48,0.89,-43.70,-105.22,-33.63,-20.98,28.42,-25.55
-0.26,-0.48,0.89,-43.70,-105.22,-33.63,-20.98,28.42,-25.55
-0.17,-0.40,0.94,-40.65,-108.76,-34.61,-20.98,28.42,-25.55
-0.17,-0.40,0.91,-51.57,-113.34,-44.86,-20.98,28.42,-25.55
-0.34,-0.46,0.89,-51.57,-113.34,-44.86,-25.04,25.35,-21.64
-0.46,-0.40,0.81,-77.33,-125.92,-56.34,-25.04,25.35,-21.64
-0.46,-0.40,0.81,-77.33,-125.92,-56.34,-25.04,25.35,-21.64
-0.28,-0.35,0.95,-59.94,-124.33,-49.99,-25.04,25.35,-21.64
