xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMag,yMag,zMag
-0.11,-0.55,0.82,-0.24,2.50,-4.03,32.40,48.46,-18.23
-0.11,-0.64,0.88,0.73,0.85,-1.89,32.96,48.60,-17.90
-0.11,-0.65,0.88,0.73,0.85,-1.89,32.96,48.60,-17.90
-0.05,-0.51,0.87,5.00,7.02,-6.35,32.96,48.60,-17.90
-0.05,-0.51,0.87,5.00,7.02,-6.35,32.96,48.60,-17.90
-0.02,-0.54,0.95,-2.87,9.40,-19.23,32.04,48.25,-19.51
-0.02,-0.54,0.95,-2.87,9.40,-19.23,32.04,48.25,-19.51
-0.06,-0.88,0.80,-3.85,-128.42,-42.97,29.44,50.96,-14.93
-0.08,-0.79,1.06,69.21,-80.51,-27.40,29.44,50.96,-14.93
-0.08,-0.79,1.06,69.21,-80.51,-27.40,27.26,52.27,-16.92
-0.15,-0.62,0.56,-22.52,-122.62,-44.31,27.26,52.27,-16.92
-0.15,-0.62,0.56,-18.31,-119.14,-40.59,27.26,52.27,-16.92
-0.19,-0.68,0.74,-18.31,-119.14,-40.59,27.26,52.27,-16.92
-0.21,-0.67,0.73,-8.91,-106.69,-32.71,27.26,52.27,-16.92
-0.21,-0.67,0.73,-8.91,-106.69,-32.71,27.26,52.27,-16.92
-0.16,-0.63,0.72,-9.52,-108.15,-27.89,27.26,52.27,-16.92
-0.16,-0.63,0.72,-9.52,-108.15,-27.89,27.26,52.27,-16.92
-0.11,-0.60,0.71,-5.86,-107.42,-23.80,27.26,52.27,-16.92
-0.11,-0.56,0.77,-2.38,-98.88,-21.00,27.26,52.27,-16.92
-0.11,-0.59,0.77,-2.38,-98.88,-21.00,26.21,53.02,-19.57
-0.15,-0.63,0.80,3.11,-93.75,-21.00,26.21,53.02,-19.57
-0.15,-0.63,0.80,3.11,-93.75,-21.00,26.21,53.02,-19.57
-0.19,-0.64,0.81,-1.46,-90.82,-20.75,26.21,53.02,-19.57
-0.19,-0.64,0.81,0.37,-84.59,-17.70,26.21,53.02,-19.57
-0.21,-0.66,0.87,0.37,-84.59,-17.70,26.21,53.02,-19.57
-0.23,-0.66,0.90,0.00,-76.97,-11.96,26.21,53.02,-19.57
-0.23,-0.66,0.90,0.00,-76.97,-11.96,26.21,53.02,-19.57
-0.26,-0.65,0.93,-0.61,-67.63,-6.23,26.21,53.02,-19.57
-0.26,-0.65,0.93,-0.61,-67.63,-1.59,26.21,53.02,-19.57
-0.24,-0.62,0.96,-2.32,-60.30,-1.59,24.67,53.97,-20.92
-0.23,-0.61,0.99,-6.90,-54.32,-0.12,24.67,53.97,-20.92
-0.23,-0.61,0.99,-6.90,-54.32,-0.12,24.67,53.97,-20.92
-0.25,-0.60,1.00,-9.64,-45.65,0.73,24.67,53.97,-20.92
-0.25,-0.60,1.00,-9.64,-45.65,0.73,24.67,53.97,-20.92
-0.28,-0.60,1.01,-12.27,-35.83,-1.10,24.67,53.97,-20.92
-0.28,-0.60,1.02,-16.66,-27.16,-2.44,24.67,53.97,-20.92
-0.31,-0.61,1.02,-16.66,-27.16,-2.44,24.67,53.97,-20.92
-0.33,-0.60,1.01,-19.84,-17.21,-1.83,24.67,53.97,-20.92
-0.33,-0.60,1.01,-19.84,-17.21,-1.83,24.67,53.97,-20.92
-0.31,-0.58,0.99,-23.56,-8.18,-0.43,23.68,54.22,-20.63
-0.31,-0.58,0.99,-23.56,-8.18,0.18,23.68,54.22,-20.63
-0.26,-0.54,0.98,-27.71,-1.16,0.18,23.68,54.22,-20.63
-0.28,-0.54,0.95,-30.70,7.08,-2.56,23.68,54.22,-20.63
-0.28,-0.54,0.95,-30.70,7.08,-2.56,23.68,54.22,-20.63
-0.26,-0.52,0.91,-31.86,14.47,-4.76,23.68,54.22,-20.63
-0.26,-0.52,0.91,-31.86,14.47,-4.76,23.68,54.22,-20.63
-0.25,-0.52,0.88,-33.33,19.10,-7.69,23.68,54.22,-20.63
-0.25,-0.52,0.88,-33.33,23.93,-10.74,23.68,54.22,-20.63
-0.24,-0.52,0.82,-32.71,23.93,-10.74,23.68,54.22,-20.63
-0.27,-0.53,0.77,-30.58,26.67,-13.61,22.33,54.06,-22.30
-0.27,-0.53,0.77,-30.58,26.67,-13.61,22.33,54.06,-22.30
-0.30,-0.53,0.71,-29.85,25.88,-15.26,22.33,54.06,-22.30
-0.30,-0.53,0.71,-29.85,25.88,-15.26,22.33,54.06,-22.30
-0.27,-0.51,0.65,-27.71,21.91,-15.87,22.33,54.06,-22.30
-0.27,-0.51,0.65,-29.66,12.08,-18.86,22.33,54.06,-22.30
-0.31,-0.51,0.61,-29.66,12.08,-18.86,22.33,54.06,-22.30
-0.36,-0.51,0.58,-31.86,-0.67,-23.56,22.33,54.06,-22.30
-0.36,-0.51,0.58,-31.86,-0.67,-23.56,22.33,54.06,-22.30
-0.36,-0.49,0.59,-36.19,-18.37,-28.08,22.33,54.06,-22.30
-0.36,-0.49,0.59,-36.19,-37.35,-33.94,20.51,54.61,-22.64
-0.33,-0.46,0.62,-42.05,-37.35,-33.94,20.51,54.61,-22.64
-0.32,-0.44,0.67,-46.20,-53.89,-40.71,20.51,54.61,-22.64
-0.32,-0.44,0.67,-46.20,-53.89,-40.71,20.51,54.61,-22.64
-0.34,-0.43,0.68,-46.08,-65.37,-48.28,20.51,54.61,-22.64
-0.34,-0.43,0.68,-46.08,-65.37,-48.28,20.51,54.61,-22.64
-0.34,-0.43,0.73,-46.08,-76.05,-55.66,20.51,54.61,-22.64
-0.34,-0.41,0.76,-43.33,-82.89,-60.67,20.51,54.61,-22.64
-0.32,-0.41,0.76,-43.33,-82.89,-60.67,20.51,54.61,-22.64
-0.36,-0.42,0.78,-39.55,-85.75,-67.08,20.51,54.61,-22.64
-0.36,-0.42,0.78,-39.55,-85.75,-67.08,17.30,54.85,-25.93
-0.41,-0.44,0.79,-36.01,-87.40,-72.08,17.30,54.85,-25.93
-0.41,-0.44,0.79,-30.09,-88.13,-73.49,17.30,54.85,-25.93
-0.43,-0.43,0.79,-30.09,-88.13,-73.49,17.30,54.85,-25.93
-0.43,-0.42,0.79,-25.15,-89.54,-75.81,17.30,54.85,-25.93
-0.43,-0.42,0.79,-25.15,-89.54,-75.81,17.30,54.85,-25.93
-0.47,-0.43,0.80,-21.61,-91.37,-79.59,17.30,54.85,-25.93
-0.47,-0.43,0.80,-21.61,-92.83,-83.37,17.30,54.85,-25.93
-0.44,-0.44,0.82,-18.43,-92.83,-83.37,17.30,54.85,-25.93
-0.40,-0.42,0.80,-9.16,-89.72,-84.47,17.30,54.85,-25.93
-0.40,-0.42,0.80,-9.16,-89.72,-84.47,12.98,56.86,-28.58
-0.48,-0.47,0.75,3.23,-83.56,-87.10,12.98,56.86,-28.58
-0.48,-0.47,0.75,3.23,-83.56,-87.10,12.98,56.86,-28.58
