xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMag,yMag,zMag
-0.07,-1.02,1.60,-8.12,-62.19,-49.44,35.96,43.77,-17.43
-0.07,-1.02,1.60,-8.12,-62.19,-49.44,35.35,44.89,-18.98
-0.01,-0.70,0.83,65.80,-4.94,-18.01,35.35,44.89,-18.98
-0.03,-0.66,0.82,44.01,-17.03,-26.55,35.35,44.89,-18.98
-0.03,-0.66,0.82,44.01,-17.03,-26.55,35.35,44.89,-18.98
-0.03,-0.66,0.75,17.40,-31.37,-35.95,35.35,44.89,-18.98
-0.03,-0.66,0.75,-9.09,-44.49,-44.37,35.35,44.89,-18.98
-0.09,-0.68,0.78,-9.09,-44.49,-44.37,35.35,44.89,-18.98
-0.10,-0.63,0.75,-24.29,-52.06,-48.16,35.35,44.89,-18.98
-0.10,-0.63,0.75,-24.29,-52.06,-48.16,33.86,46.40,-17.97
-0.10,-0.61,0.73,-27.77,-52.12,-46.08,33.86,46.40,-17.97
-0.10,-0.61,0.73,-27.77,-52.12,-40.34,33.86,46.40,-17.97
-0.17,-0.61,0.79,-14.40,-47.30,-40.34,33.86,46.40,-17.97
-0.17,-0.59,0.76,-6.53,-40.53,-35.40,33.86,46.40,-17.97
-0.17,-0.59,0.76,-6.53,-40.53,-35.40,33.86,46.40,-17.97
-0.18,-0.64,0.75,1.65,-38.02,-32.29,33.86,46.40,-17.97
-0.18,-0.64,0.75,1.65,-38.02,-32.29,33.86,46.40,-17.97
-0.17,-0.63,0.73,1.59,-38.94,-30.88,33.86,46.40,-17.97
-0.17,-0.60,0.79,-1.16,-39.86,-30.03,33.86,46.40,-17.97
-0.10,-0.62,0.79,-1.16,-39.86,-30.03,32.85,46.94,-20.07
-0.09,-0.63,0.76,-1.16,-38.94,-29.97,32.85,46.94,-20.07
-0.09,-0.63,0.76,-1.16,-38.94,-29.97,32.85,46.94,-20.07
-0.11,-0.59,0.81,-4.21,-38.88,-30.15,32.85,46.94,-20.07
-0.11,-0.59,0.81,-3.91,-36.44,-30.46,32.85,46.94,-20.07
-0.16,-0.59,0.74,-3.91,-36.44,-30.46,32.85,46.94,-20.07
-0.16,-0.62,0.78,-2.56,-36.56,-30.58,32.85,46.94,-20.07
-0.16,-0.62,0.78,-2.56,-36.56,-30.58,32.85,46.94,-20.07
-0.15,-0.62,0.78,-1.59,-35.71,-29.91,32.85,46.94,-20.07
-0.15,-0.62,0.78,-1.59,-35.71,-29.91,32.85,46.94,-20.07
-0.14,-0.61,0.77,0.06,-36.32,-30.64,31.53,48.30,-21.01
-0.14,-0.61,0.77,-1.22,-37.35,-31.98,31.53,48.30,-21.01
-0.14,-0.60,0.77,-1.22,-37.35,-31.98,31.53,48.30,-21.01
-0.13,-0.60,0.80,-1.95,-37.66,-33.33,31.53,48.30,-21.01
-0.13,-0.60,0.80,-1.95,-37.66,-33.33,31.53,48.30,-21.01
-0.20,-0.62,0.79,-1.59,-36.13,-34.85,31.53,48.30,-21.01
-0.20,-0.62,0.79,-4.15,-35.52,-35.46,31.53,48.30,-21.01
-0.23,-0.62,0.76,-4.15,-35.52,-35.46,31.53,48.30,-21.01
-0.25,-0.61,0.78,-5.19,-35.03,-33.69,31.53,48.30,-21.01
-0.25,-0.61,0.78,-5.19,-35.03,-33.69,31.53,48.30,-21.01
-0.24,-0.62,0.73,-4.52,-33.51,-30.27,30.36,49.04,-22.23
-0.24,-0.62,0.73,-4.52,-33.51,-30.27,30.36,49.04,-22.23
-0.22,-0.55,0.72,-2.38,-31.13,-26.25,30.36,49.04,-22.23
-0.20,-0.60,0.81,-0.31,-28.69,-24.66,30.36,49.04,-22.23
-0.20,-0.60,0.81,-0.31,-28.69,-24.66,30.36,49.04,-22.23
-0.21,-0.60,0.78,4.33,-26.18,-24.11,30.36,49.04,-22.23
-0.21,-0.60,0.78,4.33,-26.18,-24.11,30.36,49.04,-22.23
-0.18,-0.62,0.82,0.31,-26.79,-25.94,30.36,49.04,-22.23
-0.18,-0.62,0.82,-0.67,-26.55,-28.56,30.36,49.04,-22.23
-0.20,-0.59,0.75,-0.67,-26.55,-28.56,30.36,49.04,-22.23
-0.20,-0.66,0.81,-4.03,-27.53,-31.25,28.89,49.54,-22.81
-0.20,-0.66,0.81,-4.03,-27.53,-31.25,28.89,49.54,-22.81
-0.20,-0.61,0.76,-2.32,-27.59,-30.40,28.89,49.54,-22.81
-0.20,-0.61,0.76,-2.32,-26.00,-29.72,28.89,49.54,-22.81
-0.20,-0.60,0.79,-1.28,-26.00,-29.72,28.89,49.54,-22.81
-0.27,-0.59,0.75,1.95,-24.11,-29.11,28.89,49.54,-22.81
-0.27,-0.59,0.75,1.95,-24.11,-29.11,28.89,49.54,-22.81
-0.28,-0.59,0.73,2.20,-25.15,-28.50,28.89,49.54,-22.81
-0.28,-0.59,0.73,2.20,-25.15,-28.50,28.89,49.54,-22.81
-0.30,-0.55,0.77,-0.61,-26.55,-27.95,28.89,49.54,-22.81
-0.30,-0.59,0.78,0.85,-28.69,-29.97,28.65,50.63,-24.52
-0.30,-0.59,0.78,0.85,-28.69,-29.97,28.65,50.63,-24.52
-0.28,-0.58,0.75,-1.16,-29.79,-30.09,28.65,50.63,-24.52
-0.28,-0.58,0.75,-1.16,-29.79,-30.09,28.65,50.63,-24.52
-0.30,-0.54,0.73,0.61,-28.99,-30.46,28.65,50.63,-24.52
-0.30,-0.54,0.73,-1.16,-29.42,-32.10,28.65,50.63,-24.52
-0.31,-0.57,0.77,-1.16,-29.42,-32.10,28.65,50.63,-24.52
-0.31,-0.59,0.76,0.61,-27.95,-32.59,28.65,50.63,-24.52
-0.31,-0.59,0.76,0.61,-27.95,-32.59,28.65,50.63,-24.52
-0.31,-0.58,0.74,-0.92,-28.63,-32.59,28.65,50.63,-24.52
-0.31,-0.58,0.74,-0.92,-31.43,-32.65,26.81,51.05,-24.06
-0.30,-0.62,0.82,-4.33,-31.43,-32.65,26.81,51.05,-24.06
-0.29,-0.58,0.85,-4.82,-33.57,-32.41,26.81,51.05,-24.06
-0.29,-0.58,0.85,-4.82,-33.57,-32.41,26.81,51.05,-24.06
-0.33,-0.56,0.70,-5.55,-33.69,-34.30,26.81,51.05,-24.06
-0.33,-0.56,0.70,-5.55,-33.69,-34.30,26.81,51.05,-24.06
-0.33,-0.59,0.78,-7.45,-36.32,-36.19,26.81,51.05,-24.06
-0.28,-0.59,0.81,-5.62,-35.71,-36.68,26.81,51.05,-24.06
-0.28,-0.59,0.81,-5.62,-35.71,-36.68,26.81,51.05,-24.06
-0.31,-0.57,0.77,-3.23,-32.90,-38.88,26.81,51.05,-24.06
-0.31,-0.57,0.77,-3.23,-32.90,-38.88,25.54,51.94,-26.10
-0.35,-0.58,0.74,-5.92,-32.90,-41.99,25.54,51.94,-26.10
-0.35,-0.58,0.74,-7.26,-33.14,-42.05,25.54,51.94,-26.10
-0.38,-0.60,0.70,-7.26,-33.14,-42.05,25.54,51.94,-26.10
-0.41,-0.61,0.71,-8.30,-34.79,-40.10,25.54,51.94,-26.10
-0.41,-0.61,0.71,-8.30,-34.79,-40.10,25.54,51.94,-26.10
-0.42,-0.59,0.74,-10.31,-37.60,-36.44,25.54,51.94,-26.10
-0.42,-0.59,0.74,-10.31,-37.60,-36.44,25.54,51.94,-26.10
-0.39,-0.54,0.74,-9.58,-39.49,-32.71,25.54,51.94,-26.10
-0.39,-0.48,0.75,-10.86,-38.51,-30.76,25.54,51.94,-26.10
-0.40,-0.48,0.75,-10.86,-38.51,-30.76,23.78,52.84,-26.70
-0.42,-0.52,0.72,-8.54,-36.38,-31.56,23.78,52.84,-26.70
-0.42,-0.52,0.72,-8.54,-36.38,-31.56,23.78,52.84,-26.70
-0.43,-0.54,0.78,-7.26,-36.01,-31.92,23.78,52.84,-26.70
-0.43,-0.54,0.78,-8.91,-36.25,-31.56,23.78,52.84,-26.70
-0.42,-0.54,0.73,-8.91,-36.25,-31.56,23.78,52.84,-26.70
-0.41,-0.52,0.82,-9.77,-36.38,-30.33,23.78,52.84,-26.70
-0.41,-0.52,0.82,-9.77,-36.38,-30.33,23.78,52.84,-26.70
-0.42,-0.54,0.74,-9.64,-34.97,-28.87,23.78,52.84,-26.70
-0.42,-0.54,0.74,-9.64,-33.51,-26.43,23.78,52.84,-26.70
-0.42,-0.51,0.69,-10.68,-33.51,-26.43,22.29,52.55,-28.36
-0.42,-0.49,0.74,-12.08,-32.29,-23.68,22.29,52.55,-28.36
-0.42,-0.49,0.74,-12.08,-32.29,-23.68,22.29,52.55,-28.36
-0.39,-0.48,0.74,-11.90,-28.81,-21.91,22.29,52.55,-28.36
-0.39,-0.48,0.74,-11.90,-28.81,-21.91,22.29,52.55,-28.36
-0.41,-0.49,0.77,-9.28,-21.91,-20.81,22.29,52.55,-28.36
-0.48,-0.50,0.71,-4.94,-15.38,-19.04,22.29,52.55,-28.36
-0.48,-0.50,0.71,-4.94,-15.38,-19.04,22.29,52.55,-28.36
-0.47,-0.50,0.73,-4.21,-12.02,-15.93,22.29,52.55,-28.36
-0.47,-0.50,0.73,-4.21,-12.02,-15.93,22.29,52.55,-28.36
-0.48,-0.50,0.73,-0.79,-9.46,-12.82,21.09,52.60,-28.27
-0.48,-0.50,0.73,-0.85,-8.73,-10.80,21.09,52.60,-28.27
-0.48,-0.50,0.73,-0.85,-8.73,-10.80,21.09,52.60,-28.27
-0.48,-0.51,0.74,-0.85,-8.48,-9.46,21.09,52.60,-28.27
-0.48,-0.51,0.74,-0.85,-8.48,-9.46,21.09,52.60,-28.27
-0.47,-0.52,0.73,-0.18,-8.54,-8.79,21.09,52.60,-28.27
-0.47,-0.52,0.73,-0.18,-8.54,-8.79,21.09,52.60,-28.27
-0.50,-0.52,0.72,-1.10,-9.77,-9.95,21.09,52.60,-28.27
-0.53,-0.52,0.71,-3.11,-12.57,-11.84,21.09,52.60,-28.27
-0.50,-0.52,0.71,-3.11,-12.57,-11.84,21.09,52.60,-28.27
-0.47,-0.52,0.73,-4.76,-14.83,-13.06,20.92,53.53,-29.36
-0.47,-0.52,0.73,-4.76,-14.83,-13.06,20.92,53.53,-29.36
-0.45,-0.50,0.75,-4.52,-14.95,-13.92,20.92,53.53,-29.36
-0.45,-0.50,0.75,-4.58,-14.10,-15.69,20.92,53.53,-29.36
-0.49,-0.51,0.70,-4.58,-14.10,-15.69,20.92,53.53,-29.36
-0.42,-0.67,0.65,-3.36,-10.44,-15.87,20.92,53.53,-29.36
-0.42,-0.67,0.65,-3.36,-10.44,-15.87,20.92,53.53,-29.36
-0.51,-0.54,0.73,13.85,-0.55,-5.31,20.92,53.53,-29.36
-0.51,-0.54,0.73,13.85,-0.55,10.31,20.92,53.53,-29.36
-0.48,-0.50,0.74,20.94,-4.09,1.40,20.92,53.53,-29.36
