xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMag,yMag,zMag
-0.01,-0.52,0.83,4.46,-0.85,5.92,-13.16,20.29,-27.72
-0.05,-0.56,0.86,0.55,-4.70,10.31,-13.98,20.79,-27.33
-0.05,-0.56,0.86,0.55,-4.70,10.31,-13.98,20.79,-27.33
-0.02,-0.49,0.87,1.16,-7.69,17.76,-13.98,20.79,-27.33
-0.02,-0.49,0.87,1.16,-7.69,17.76,-13.98,20.79,-27.33
-0.00,-0.47,0.91,1.71,-7.87,18.55,-13.98,20.79,-27.33
-0.01,-0.48,0.88,0.73,-5.98,14.95,-13.98,20.79,-27.33
-0.01,-0.48,0.88,0.73,-5.98,14.95,-13.98,20.79,-27.33
-0.02,-0.47,0.86,4.39,-5.37,15.44,-13.98,20.79,-27.33
-0.02,-0.47,0.86,4.39,-5.37,15.44,-14.33,20.58,-27.06
-0.13,-0.53,0.87,-1.22,-4.46,9.40,-14.33,20.58,-27.06
-0.13,-0.53,0.87,0.92,-2.62,4.94,-14.33,20.58,-27.06
-0.06,-0.52,0.86,0.92,-2.62,4.94,-14.33,20.58,-27.06
-0.08,-0.46,0.67,-10.38,-33.87,2.62,-14.33,20.58,-27.06
-0.08,-0.46,0.67,-10.38,-33.87,2.62,-15.59,20.97,-26.68
-0.43,-0.70,1.05,-38.15,-50.96,-11.96,-15.59,20.97,-26.68
-0.43,-0.70,1.05,-38.15,-50.96,-11.96,-15.59,20.97,-26.68
-0.07,-0.46,1.18,-29.54,-39.61,10.01,-15.59,20.97,-26.68
-0.07,-0.46,1.18,-29.54,-10.74,24.29,-15.59,20.97,-26.68
-0.08,-0.43,1.01,-14.40,-21.55,1.28,-15.59,20.97,-26.68
-0.08,-0.43,1.01,-14.40,-21.55,1.28,-15.59,20.97,-26.68
-0.08,-0.58,0.85,-60.49,-76.42,-0.61,-16.65,21.44,-27.16
-0.08,-0.58,0.85,-60.49,-76.42,-0.61,-19.12,20.75,-24.66
-0.04,-0.61,0.83,-58.72,-78.92,1.53,-19.12,20.75,-24.66
-0.04,-0.61,0.83,-58.72,-78.92,8.54,-19.12,20.75,-24.66
-0.04,-0.62,0.85,-71.17,-92.77,13.00,-19.12,20.75,-24.66
-0.04,-0.62,0.85,-71.17,-92.77,13.00,-19.12,20.75,-24.66
-0.10,-0.61,0.85,-81.18,-104.68,19.78,-19.12,20.75,-24.66
-0.10,-0.61,0.85,-81.18,-104.68,19.78,-19.12,20.75,-24.66
-0.16,-0.56,0.84,-83.44,-111.94,29.60,-19.12,20.75,-24.66
-0.16,-0.56,0.84,-83.01,-117.61,38.51,-19.12,20.75,-24.66
-0.26,-0.51,0.88,-83.01,-117.61,38.51,-23.12,20.41,-21.96
-0.32,-0.41,0.90,-81.79,-122.13,45.47,-23.12,20.41,-21.96
-0.32,-0.41,0.90,-81.79,-122.13,45.47,-23.12,20.41,-21.96
-0.35,-0.33,0.92,-79.83,-125.31,46.94,-23.12,20.41,-21.96
-0.35,-0.33,0.92,-79.83,-125.31,31.31,-23.12,20.41,-21.96
-0.36,-0.24,0.95,-81.85,-128.66,44.31,-23.12,20.41,-21.96
-0.36,-0.17,0.95,-91.92,-135.50,39.92,-23.12,20.41,-21.96
-0.36,-0.17,0.95,-91.92,-135.50,39.92,-23.12,20.41,-21.96
-0.34,-0.10,0.98,-98.39,-142.46,32.71,-23.12,20.41,-21.96
-0.34,-0.10,0.98,-98.39,-142.46,32.71,-23.12,20.41,-21.96
-0.34,-0.07,1.00,-99.55,-140.50,24.41,-27.80,19.09,-16.42
-0.34,-0.07,1.00,-99.43,-134.89,15.69,-27.80,19.09,-16.42
-0.39,-0.07,1.03,-99.43,-134.89,15.69,-27.80,19.09,-16.42
-0.42,-0.06,1.05,-96.19,-126.53,8.67,-27.80,19.09,-16.42
-0.42,-0.06,1.05,-96.19,-126.53,8.67,-27.80,19.09,-16.42
-0.45,-0.07,1.07,-95.09,-119.57,1.83,-27.80,19.09,-16.42
-0.45,-0.07,1.07,-95.09,-119.57,1.83,-27.80,19.09,-16.42
-0.52,-0.08,1.06,-93.69,-112.49,-3.42,-27.80,19.09,-16.42
-0.59,-0.09,1.07,-94.36,-107.12,-6.29,-27.80,19.09,-16.42
-0.59,-0.09,1.07,-94.36,-107.12,-6.29,-27.80,19.09,-16.42
-0.56,-0.04,1.08,-94.73,-103.27,-5.92,-31.38,16.96,-11.98
-0.56,-0.04,1.08,-94.73,-103.27,-5.92,-31.38,16.96,-11.98
-0.51,0.02,1.13,-100.83,-102.42,-7.39,-31.38,16.96,-11.98
-0.51,0.02,1.13,-100.83,-97.47,-13.79,-31.38,16.96,-11.98
-0.44,0.06,1.15,-106.51,-97.47,-13.79,-31.38,16.96,-11.98
-0.44,0.07,1.15,-106.63,-87.04,-21.06,-31.38,16.96,-11.98
-0.44,0.07,1.15,-106.63,-87.04,-21.06,-31.38,16.96,-11.98
-0.50,0.03,1.11,-105.10,-74.46,-31.37,-31.38,16.96,-11.98
-0.50,0.03,1.11,-105.10,-74.46,-31.37,-31.38,16.96,-11.98
-0.52,-0.02,1.11,-105.96,-63.42,-41.08,-31.38,16.96,-11.98
-0.52,-0.02,1.05,-104.00,-50.78,-46.20,-31.68,14.40,-8.42
-0.52,-0.08,1.05,-104.00,-50.78,-46.20,-31.68,14.40,-8.42
-0.55,-0.18,1.01,-104.61,-38.27,-48.46,-31.68,14.40,-8.42
-0.55,-0.18,1.01,-104.61,-38.27,-48.46,-31.68,14.40,-8.42
-0.47,-0.21,0.94,-101.01,-25.15,-42.42,-31.68,14.40,-8.42
-0.47,-0.21,0.94,-97.78,-16.24,-32.29,-31.68,14.40,-8.42
-0.41,-0.21,0.86,-97.78,-16.24,-32.29,-31.68,14.40,-8.42
-0.43,-0.22,0.81,-102.29,-17.64,-23.38,-31.68,14.40,-8.42
-0.43,-0.22,0.81,-102.29,-17.64,-23.38,-31.68,14.40,-8.42
-0.39,-0.19,0.78,-104.13,-22.22,-13.24,-31.68,14.40,-8.42
-0.39,-0.19,0.78,-104.13,-22.22,-13.24,-31.29,12.83,-6.54
-0.38,-0.18,0.76,-104.49,-27.16,-4.39,-31.29,12.83,-6.54
-0.38,-0.18,0.75,-102.36,-29.42,4.70,-31.29,12.83,-6.54
-0.43,-0.18,0.75,-102.36,-29.42,4.70,-31.29,12.83,-6.54
-0.47,-0.16,0.71,-99.55,-31.31,14.89,-31.29,12.83,-6.54
-0.47,-0.16,0.71,-99.55,-31.31,14.89,-31.29,12.83,-6.54
-0.49,-0.12,0.71,-102.78,-36.56,24.66,-31.29,12.83,-6.54
-0.49,-0.12,0.71,-102.78,-36.56,34.12,-31.29,12.83,-6.54
-0.45,-0.04,0.74,-106.87,-42.24,34.12,-31.29,12.83,-6.54
-0.48,0.00,0.76,-108.76,-43.82,40.53,-31.29,12.83,-6.54
-0.48,0.00,0.76,-108.76,-43.82,40.53,-31.56,14.20,-4.66
-0.50,0.07,0.76,-104.37,-40.34,45.96,-31.56,14.20,-4.66
-0.50,0.07,0.76,-104.37,-40.34,45.96,-31.56,14.20,-4.66
-0.53,0.13,0.76,-100.65,-36.56,49.19,-31.56,14.20,-4.66
-0.53,0.13,0.76,-95.89,-31.25,49.07,-31.56,14.20,-4.66
-0.60,0.17,0.73,-95.89,-31.25,49.07,-31.56,14.20,-4.66
-0.58,0.24,0.72,-94.79,-29.48,49.01,-31.56,14.20,-4.66
-0.58,0.24,0.72,-94.79,-29.48,49.01,-31.56,14.20,-4.66
-0.55,0.29,0.72,-96.37,-29.36,46.02,-31.56,14.20,-4.66
-0.55,0.29,0.72,-96.37,-29.36,46.02,-31.56,14.20,-4.66
-0.50,0.33,0.70,-94.73,-27.47,41.20,-32.89,15.05,-2.03
-0.50,0.36,0.68,-91.67,-26.98,35.83,-32.89,15.05,-2.03
-0.45,0.37,0.68,-91.67,-26.98,35.83,-32.89,15.05,-2.03
-0.42,0.36,0.66,-88.81,-28.44,27.22,-32.89,15.05,-2.03
-0.42,0.36,0.66,-88.81,-28.44,27.22,-32.89,15.05,-2.03
-0.43,0.34,0.64,-83.74,-29.79,17.33,-32.89,15.05,-2.03
-0.43,0.34,0.64,-83.74,-29.79,9.16,-32.89,15.05,-2.03
-0.44,0.29,0.61,-78.37,-31.13,9.16,-32.89,15.05,-2.03
-0.47,0.23,0.58,-73.49,-32.17,4.15,-32.89,15.05,-2.03
-0.47,0.23,0.58,-73.49,-32.17,4.15,-32.89,15.05,-2.03
-0.45,0.20,0.56,-69.40,-34.97,3.54,-32.89,15.05,-2.03
-0.45,0.20,0.56,-69.40,-34.97,3.54,-32.79,15.06,1.18
-0.44,0.18,0.55,-65.86,-39.43,5.00,-32.79,15.06,1.18
-0.44,0.18,0.55,-65.86,-44.80,8.24,-32.79,15.06,1.18
-0.47,0.16,0.55,-61.89,-44.80,8.24,-32.79,15.06,1.18
