xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMag,yMag,zMag
-0.09,-0.70,0.71,2.01,10.01,-16.24,37.24,38.24,-23.14
-0.09,-0.70,0.71,2.01,10.01,-16.24,37.24,38.24,-23.14
-0.04,-0.67,0.76,1.77,7.75,-15.38,37.24,38.24,-23.14
-0.04,-0.67,0.76,1.77,7.75,-15.20,37.24,38.24,-23.14
-0.07,-0.66,0.80,-34.55,-93.69,-48.83,36.06,39.62,-21.94
-0.07,-0.66,0.80,-34.55,-93.69,-48.83,36.06,39.62,-21.94
-0.02,-0.66,0.80,-26.31,-99.49,-49.74,36.06,39.62,-21.94
-0.02,-0.81,0.92,-16.11,-95.64,-46.45,35.11,41.04,-24.65
-0.03,-0.81,0.92,-16.11,-95.64,-46.45,35.11,41.04,-24.65
-0.03,-0.67,0.79,2.69,-66.22,-42.36,35.11,41.04,-24.65
-0.03,-0.67,0.79,2.69,-66.22,-42.36,35.11,41.04,-24.65
-0.08,-0.64,0.76,-23.50,-84.47,-53.47,35.11,41.04,-24.65
-0.08,-0.64,0.76,-23.50,-84.47,-53.47,32.97,42.33,-26.15
-0.18,-0.67,0.77,-21.79,-88.32,-54.81,32.97,42.33,-26.15
-0.18,-0.67,0.77,-8.00,-86.06,-51.33,32.97,42.33,-26.15
-0.25,-0.69,0.75,-8.00,-86.06,-51.33,32.97,42.33,-26.15
-0.28,-0.68,0.75,0.98,-88.07,-48.46,32.97,42.33,-26.15
-0.28,-0.68,0.75,0.98,-88.07,-48.46,32.97,42.33,-26.15
-0.23,-0.64,0.76,1.89,-94.67,-48.28,32.97,42.33,-26.15
-0.23,-0.64,0.76,1.89,-94.67,-48.28,32.97,42.33,-26.15
-0.16,-0.61,0.81,-2.56,-103.58,-50.23,32.97,42.33,-26.15
-0.16,-0.60,0.81,-7.32,-109.92,-56.46,32.97,42.33,-26.15
-0.19,-0.60,0.81,-7.32,-109.92,-56.46,30.58,44.25,-29.31
-0.26,-0.57,0.87,-11.84,-114.56,-64.09,30.58,44.25,-29.31
-0.26,-0.57,0.87,-11.84,-114.56,-64.09,30.58,44.25,-29.31
-0.30,-0.56,0.75,-12.02,-116.09,-68.85,30.58,44.25,-29.31
-0.30,-0.56,0.75,-8.79,-116.27,-72.39,30.58,44.25,-29.31
-0.33,-0.59,0.75,-8.79,-116.27,-72.39,30.58,44.25,-29.31
-0.35,-0.57,0.78,-6.96,-118.10,-74.83,30.58,44.25,-29.31
-0.35,-0.57,0.78,-6.96,-118.10,-74.83,30.58,44.25,-29.31
-0.37,-0.56,0.71,-4.64,-118.10,-76.42,30.58,44.25,-29.31
-0.37,-0.56,0.71,-4.64,-118.10,-76.42,30.58,44.25,-29.31
-0.42,-0.55,0.72,-3.85,-118.53,-77.15,30.58,46.39,-31.52
-0.42,-0.59,0.75,0.49,-117.49,-76.17,25.93,46.39,-31.52
-0.46,-0.58,0.75,0.49,-117.49,-76.17,25.93,46.39,-31.52
-0.52,-0.53,0.67,5.86,-115.84,-74.10,25.93,46.39,-31.52
-0.52,-0.53,0.67,5.86,-115.84,-74.10,25.93,46.39,-31.52
-0.55,-0.48,0.69,5.19,-114.75,-74.10,25.93,46.39,-31.52
-0.55,-0.48,0.69,5.19,-114.75,-73.85,25.93,46.39,-31.52
-0.62,-0.51,0.74,11.29,-114.75,-73.85,25.93,46.39,-31.52
-0.64,-0.47,0.66,13.12,-115.54,-74.10,25.93,46.39,-31.52
-0.64,-0.47,0.66,13.12,-115.54,-74.10,25.93,46.39,-31.52
-0.66,-0.47,0.68,13.06,-116.70,-75.50,25.93,46.39,-31.52
-0.66,-0.47,0.68,13.06,-116.70,-75.50,21.52,48.44,-35.16
-0.65,-0.37,0.67,16.85,-116.39,-77.39,21.52,48.44,-35.16
-0.65,-0.37,0.67,21.18,-112.24,-80.51,21.52,48.44,-35.16
-0.63,-0.36,0.80,21.18,-112.24,-80.51,21.52,48.44,-35.16
-0.59,-0.30,0.68,32.90,-104.86,-85.33,21.52,48.44,-35.16
-0.59,-0.30,0.68,32.90,-104.86,-85.33,21.52,48.44,-35.16
-0.62,-0.40,0.81,29.42,-99.00,-94.54,21.52,48.44,-35.16
-0.62,-0.40,0.81,29.42,-99.00,-94.54,21.52,48.44,-35.16
-0.64,-0.35,0.71,39.61,-88.13,-101.75,21.52,48.44,-35.16
-0.71,-0.41,0.70,39.92,-82.09,-110.05,21.52,48.44,-35.16
-0.71,-0.41,0.70,39.92,-82.09,-110.05,16.49,50.79,-36.00
-0.73,-0.46,0.70,40.77,-76.90,-115.30,16.49,50.79,-36.00
-0.73,-0.46,0.70,40.77,-76.90,-115.30,16.49,50.79,-36.00
-0.71,-0.48,0.69,43.64,-70.98,-116.94,16.49,50.79,-36.00
-0.71,-0.48,0.69,45.29,-65.25,-118.84,16.49,50.79,-36.00
-0.67,-0.49,0.68,45.29,-65.25,-118.84,16.49,50.79,-36.00
-0.66,-0.53,0.68,43.21,-61.34,-122.01,16.49,50.79,-36.00
-0.66,-0.53,0.68,43.21,-61.34,-122.01,16.49,50.79,-36.00
-0.65,-0.57,0.68,40.71,-57.56,-123.11,16.49,50.79,-36.00
-0.65,-0.57,0.68,40.71,-57.56,-123.11,16.49,50.79,-36.00
-0.64,-0.60,0.66,40.28,-52.43,-120.67,11.00,53.49,-35.84
-0.64,-0.60,0.64,39.25,-47.91,-116.58,11.00,53.49,-35.84
-0.64,-0.64,0.64,39.25,-47.91,-116.58,11.00,53.49,-35.84
-0.65,-0.67,0.64,35.89,-44.62,-111.08,11.00,53.49,-35.84
-0.65,-0.67,0.64,35.89,-44.62,-111.08,11.00,53.49,-35.84
-0.64,-0.70,0.63,33.81,-40.95,-102.84,11.00,53.49,-35.84
-0.64,-0.70,0.63,33.81,-37.48,-91.37,11.00,53.49,-35.84
-0.61,-0.71,0.64,30.76,-37.48,-91.37,11.00,53.49,-35.84
-0.58,-0.71,0.64,27.89,-33.33,-78.49,11.00,53.49,-35.84
-0.58,-0.71,0.64,27.89,-33.33,-78.49,11.00,53.49,-35.84
-0.57,-0.71,0.64,25.82,-28.08,-65.25,7.09,54.49,-36.10
-0.57,-0.71,0.64,25.82,-28.08,-65.25,7.09,54.49,-36.10
-0.57,-0.71,0.64,23.80,-22.77,-51.70,7.09,54.49,-36.10
-0.57,-0.71,0.64,21.61,-17.27,-39.00,7.09,54.49,-36.10
-0.56,-0.70,0.65,21.61,-17.27,-39.00,7.09,54.49,-36.10
-0.57,-0.70,0.64,20.14,-11.29,-26.43,7.09,54.49,-36.10
-0.57,-0.70,0.64,20.14,-11.29,-26.43,7.09,54.49,-36.10
-0.62,-0.70,0.63,18.92,-5.68,-14.83,7.09,54.49,-36.10
-0.62,-0.70,0.63,18.92,-5.68,-14.83,7.09,54.49,-36.10
-0.65,-0.69,0.63,17.15,-1.28,-4.03,7.09,54.49,-36.10
-0.65,-0.63,0.63,13.85,2.01,6.53,5.54,55.81,-35.13
-0.64,-0.65,0.63,13.85,2.01,6.53,5.54,55.81,-35.13
-0.63,-0.61,0.64,9.09,4.70,16.05,5.54,55.81,-35.13
-0.63,-0.61,0.64,9.09,4.70,16.05,5.54,55.81,-35.13
-0.64,-0.58,0.65,4.03,8.24,23.32,5.54,55.81,-35.13
-0.64,-0.58,0.65,4.03,8.24,29.66,5.54,55.81,-35.13
-0.69,-0.55,0.65,1.83,13.92,29.66,5.54,55.81,-35.13
-0.75,-0.52,0.62,1.46,20.02,35.10,5.54,55.81,-35.13
-0.75,-0.52,0.62,1.46,20.02,35.10,5.54,55.81,-35.13
-0.78,-0.49,0.60,-1.22,22.52,38.02,5.54,55.81,-35.13
-0.78,-0.49,0.60,-1.22,22.52,38.02,6.43,55.80,-35.36
-0.77,-0.44,0.62,-6.53,22.03,38.09,6.43,55.80,-35.36
-0.77,-0.44,0.62,-6.53,22.64,36.56,6.43,55.80,-35.36
-0.74,-0.39,0.63,-9.70,22.64,36.56,6.43,55.80,-35.36
-0.69,-0.34,0.63,-10.19,26.06,32.35,6.43,55.80,-35.36
-0.69,-0.34,0.63,-10.19,26.06,32.35,6.43,55.80,-35.36
-0.65,-0.31,0.62,-10.50,29.72,25.88,6.43,55.80,-35.36
-0.65,-0.31,0.62,-10.50,29.72,25.88,6.43,55.80,-35.36
-0.63,-0.30,0.61,-11.23,33.45,16.78,6.43,55.80,-35.36
-0.63,-0.30,0.61,-11.11,37.29,7.26,6.43,55.80,-35.36
-0.65,-0.31,0.58,-11.11,37.29,7.26,6.43,55.80,-35.36
-0.68,-0.34,0.55,-9.83,40.34,-0.85,7.37,55.08,-34.96
-0.68,-0.34,0.55,-9.83,40.34,-0.85,7.37,55.08,-34.96
-0.70,-0.37,0.52,-8.73,41.38,-6.35,7.37,55.08,-34.96
-0.70,-0.37,0.52,-8.73,41.38,-6.35,7.37,55.08,-34.96
-0.71,-0.39,0.49,-7.08,41.02,-11.29,7.37,55.08,-34.96
-0.71,-0.39,0.47,-6.29,38.27,-15.01,7.37,55.08,-34.96
-0.71,-0.40,0.47,-6.29,38.27,-15.01,7.37,55.08,-34.96
-0.68,-0.40,0.46,-5.31,33.94,-18.07,7.37,55.08,-34.96
-0.68,-0.40,0.46,-5.31,33.94,-18.07,7.37,55.08,-34.96
-0.65,-0.40,0.45,-4.33,29.24,-21.18,7.37,55.08,-34.96
-0.65,-0.40,0.45,-4.33,29.24,-21.18,6.63,55.68,-34.62
-0.63,-0.40,0.45,-3.42,24.29,-24.35,6.63,55.68,-34.62
-0.63,-0.41,0.44,-1.71,19.59,-26.25,6.63,55.68,-34.62
-0.63,-0.41,0.44,-1.71,19.59,-26.25,6.63,55.68,-34.62
-0.62,-0.42,0.44,1.59,15.99,-27.65,6.63,55.68,-34.62
-0.62,-0.42,0.44,1.59,15.99,-27.65,6.63,55.68,-34.62
-0.63,-0.43,0.44,3.85,11.11,-28.20,6.63,55.68,-34.62
-0.63,-0.43,0.44,3.85,11.11,-28.63,6.63,55.68,-34.62
-0.64,-0.43,0.44,5.55,5.43,-28.63,6.63,55.68,-34.62
-0.62,-0.43,0.45,7.32,-0.49,-28.44,6.63,55.68,-34.62
-0.62,-0.43,0.45,7.32,-0.49,-28.44,6.05,55.91,-36.87
-0.61,-0.42,0.47,8.85,-5.62,-28.56,6.05,55.91,-36.87
-0.61,-0.42,0.47,8.85,-5.62,-28.56,6.05,55.91,-36.87
-0.61,-0.43,0.49,9.89,-10.25,-29.11,6.05,55.91,-36.87
-0.61,-0.43,0.49,11.41,-13.67,-30.40,6.05,55.91,-36.87
-0.62,-0.43,0.50,11.41,-13.67,-30.40,6.05,55.91,-36.87
-0.63,-0.44,0.51,13.31,-16.78,-30.82,6.05,55.91,-36.87
-0.63,-0.44,0.51,13.31,-16.78,-30.82,6.05,55.91,-36.87
-0.61,-0.43,0.53,14.47,-19.96,-31.19,6.05,55.91,-36.87
-0.61,-0.43,0.53,14.47,-19.96,-31.19,6.05,55.91,-36.87
-0.60,-0.43,0.55,14.77,-22.28,-31.98,4.54,56.81,-36.47
-0.60,-0.43,0.58,15.14,-23.56,-32.96,4.54,56.81,-36.47
-0.61,-0.45,0.56,15.14,-23.56,-32.96,4.54,56.81,-36.47
-0.65,-0.47,0.57,15.14,-24.35,-33.39,4.54,56.81,-36.47
-0.65,-0.47,0.57,15.14,-24.35,-33.39,4.54,56.81,-36.47
-0.65,-0.47,0.58,15.44,-24.84,-32.65,4.54,56.81,-36.47
-0.65,-0.47,0.58,15.44,-24.84,-31.19,4.54,56.81,-36.47
-0.64,-0.47,0.59,15.44,-25.15,-31.19,4.54,56.81,-36.47
-0.63,-0.47,0.61,14.47,-24.54,-29.36,4.54,56.81,-36.47
