xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMag,yMag,zMag
-0.17,-0.43,0.92,-0.73,-2.99,5.13,-15.15,20.74,-26.94
-0.17,-0.43,0.92,1.71,5.07,-10.86,-15.15,20.74,-26.94
-0.59,-0.69,0.81,1.71,5.07,-10.86,-15.15,20.74,-26.94
-0.22,-0.63,0.84,0.49,8.67,-20.32,-14.44,21.04,-26.62
-0.22,-0.63,0.84,0.49,8.67,-20.32,-14.44,21.04,-26.62
-0.07,-0.50,0.79,-8.42,-23.25,2.50,-15.77,21.64,-27.05
-0.06,-0.52,0.87,-10.13,-29.11,-1.59,-15.77,21.64,-27.05
-0.06,-0.52,0.87,-10.13,-29.11,-1.59,-15.77,21.64,-27.05
-0.05,-0.64,0.86,-34.61,-94.06,-5.07,-17.72,21.51,-25.44
-0.05,-0.64,0.86,-34.61,-94.06,-5.07,-17.72,21.51,-25.44
-0.05,-0.63,0.86,-43.88,-107.97,1.22,-17.72,21.51,-25.44
-0.05,-0.63,0.86,-43.88,-107.97,1.22,-17.72,21.51,-25.44
-0.15,-0.65,0.86,-58.04,-123.72,6.23,-21.06,20.75,-23.21
-0.15,-0.65,0.83,-81.42,-143.80,10.44,-21.06,20.75,-23.21
-0.27,-0.65,0.84,-81.42,-143.80,10.44,-21.06,20.75,-23.21
-0.37,-0.63,0.83,-100.22,-164.67,20.81,-21.06,20.75,-23.21
-0.37,-0.63,0.83,-100.22,-164.67,20.81,-21.06,20.75,-23.21
-0.38,-0.53,0.87,-109.07,-180.54,35.77,-21.06,20.75,-23.21
-0.38,-0.53,0.87,-109.07,-191.04,49.93,-21.06,20.75,-23.21
-0.31,-0.37,0.94,-112.98,-191.04,49.93,-21.06,20.75,-23.21
-0.36,-0.25,0.89,-111.57,-196.29,57.13,-21.06,20.75,-23.21
-0.36,-0.25,0.89,-111.57,-196.29,57.13,-21.06,20.75,-23.21
-0.40,-0.13,0.90,-115.54,-197.81,56.34,-28.36,19.64,-18.01
-0.40,-0.13,0.90,-115.54,-197.81,56.34,-28.36,19.64,-18.01
-0.43,-0.03,0.93,-111.33,-195.62,54.44,-28.36,19.64,-18.01
-0.43,-0.03,0.93,-105.22,-189.88,50.23,-28.36,19.64,-18.01
-0.53,0.06,0.94,-105.22,-189.88,50.23,-28.36,19.64,-18.01
-0.64,0.12,0.89,-98.57,-185.73,42.30,-28.36,19.64,-18.01
-0.64,0.12,0.89,-98.57,-185.73,42.30,-28.36,19.64,-18.01
-0.68,0.19,0.93,-99.18,-186.40,31.07,-28.36,19.64,-18.01
-0.68,0.19,0.93,-99.18,-186.40,15.01,-28.36,19.64,-18.01
-0.73,0.22,1.01,-101.07,-181.21,15.01,-28.36,19.64,-18.01
-0.74,0.24,1.02,-92.16,-164.31,-2.26,-33.81,18.88,-12.02
-0.74,0.24,1.02,-92.16,-164.31,-2.26,-33.81,18.88,-12.02
-0.75,0.22,1.02,-84.66,-146.61,-19.65,-33.81,18.88,-12.02
-0.75,0.22,1.02,-84.66,-146.61,-19.65,-33.81,18.88,-12.02
-0.69,0.22,1.00,-80.20,-133.12,-35.71,-33.81,18.88,-12.02
-0.69,0.22,1.00,-79.77,-125.18,-51.82,-33.81,18.88,-12.02
-0.63,0.20,0.99,-79.77,-125.18,-51.82,-33.81,18.88,-12.02
-0.58,0.14,1.00,-84.35,-121.09,-67.69,-33.81,18.88,-12.02
-0.58,0.14,1.00,-84.35,-121.09,-67.69,-33.81,18.88,-12.02
-0.56,0.05,0.99,-87.83,-115.05,-80.75,-33.81,18.88,-12.02
-0.56,0.05,0.99,-87.83,-115.05,-80.75,-33.81,18.88,-5.15
-0.56,-0.06,1.00,-86.36,-105.04,-88.75,-34.38,15.27,-5.15
-0.54,-0.14,0.96,-75.07,-88.20,-89.97,-34.38,15.27,-5.15
-0.54,-0.14,0.96,-75.07,-88.20,-89.97,-34.38,15.27,-5.15
-0.61,-0.24,0.90,-64.33,-70.62,-87.28,-34.38,15.27,-5.15
-0.61,-0.24,0.90,-64.33,-70.62,-87.28,-34.38,15.27,-5.15
-0.70,-0.32,0.84,-58.29,-58.17,-78.92,-34.38,15.27,-5.15
-0.70,-0.32,0.84,-55.60,-52.00,-64.03,-34.38,15.27,-5.15
-0.69,-0.31,0.79,-55.60,-52.00,-64.03,-34.38,15.27,-5.15
-0.59,-0.25,0.79,-61.10,-52.73,-48.03,-34.38,15.27,-5.15
-0.59,-0.25,0.79,-61.10,-52.73,-48.03,-34.38,12.15,-1.12
-0.52,-0.20,0.81,-70.80,-55.54,-36.87,-33.07,12.44,-1.12
-0.52,-0.20,0.81,-72.51,-54.32,-27.53,-33.07,12.44,-1.12
-0.54,-0.16,0.80,-72.51,-54.32,-27.53,-33.07,12.44,-1.12
-0.54,-0.11,0.80,-72.08,-53.47,-18.62,-33.07,12.44,-1.12
-0.54,-0.11,0.80,-72.08,-53.47,-18.62,-33.07,12.44,-1.12
-0.52,-0.05,0.81,-72.39,-52.61,-11.60,-33.07,12.44,-1.12
-0.52,-0.05,0.81,-72.39,-52.61,-11.60,-33.07,12.44,-1.12
-0.52,-0.01,0.82,-72.08,-50.05,-8.48,-33.07,12.44,-1.12
-0.52,0.02,0.82,-70.92,-45.90,-6.77,-33.07,12.44,-1.12
-0.52,0.02,0.82,-70.92,-45.90,-6.77,-33.07,12.44,-1.12
-0.52,0.03,0.80,-68.05,-39.98,-5.98,-31.92,12.54,1.48
-0.52,0.03,0.80,-68.05,-39.98,-5.98,-31.92,12.54,1.48
-0.56,0.01,0.77,-65.49,-34.48,-5.68,-31.92,12.54,1.48
-0.56,0.01,0.77,-65.49,-18.86,-3.66,-31.92,12.54,1.48
-0.54,0.03,0.76,-63.29,-29.72,-3.66,-31.92,12.54,1.48
-0.49,0.04,0.74,-61.65,-25.27,-1.04,-31.92,12.54,1.48
-0.49,0.04,0.74,-61.65,-25.27,-1.04,-31.92,12.54,1.48
-0.48,0.05,0.71,-58.84,-20.39,0.85,-31.92,12.54,1.48
-0.48,0.05,0.71,-58.84,-20.39,0.85,-31.92,12.54,1.48
-0.46,0.05,0.68,-57.37,-17.88,2.93,-31.92,12.54,1.48
-0.46,0.05,0.68,-56.40,-17.15,5.19,-32.23,12.82,3.93
-0.51,0.03,0.65,-56.40,-17.15,5.19,-32.23,12.82,3.93
-0.57,0.02,0.62,-53.59,-17.52,9.03,-32.23,12.82,3.93
-0.57,0.02,0.62,-53.59,-17.52,9.03,-32.23,12.82,3.93
-0.56,0.05,0.61,-51.76,-21.67,13.98,-32.23,12.82,3.93
-0.56,0.05,0.61,-51.76,-21.67,13.98,-32.23,12.82,3.93
-0.52,0.09,0.63,-51.33,-27.47,16.97,-32.23,12.82,3.93
-0.52,0.09,0.60,-47.91,-30.52,18.37,-32.23,12.82,3.93
-0.49,0.12,0.62,-47.91,-30.52,18.37,-32.23,12.82,3.93
-0.52,0.12,0.63,-46.63,-34.73,18.01,-32.23,12.82,3.93
-0.52,0.12,0.63,-46.63,-34.73,18.01,-32.71,14.15,5.26
-0.65,0.08,0.62,-46.20,-38.70,17.03,-32.71,14.15,5.26
-0.65,0.08,0.62,-46.20,-38.70,17.03,-32.71,14.15,5.26
-0.70,0.10,0.62,-44.98,-42.97,19.96,-32.71,14.15,5.26
-0.63,0.15,0.67,-45.90,-48.40,22.77,-32.71,14.15,5.26
-0.64,0.15,0.67,-45.90,-48.40,22.77,-32.71,14.15,5.26
-0.59,0.19,0.69,-44.74,-49.87,22.71,-32.71,14.15,5.26
-0.59,0.19,0.69,-44.74,-49.87,22.71,-32.71,14.15,5.26
