xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMag,yMag,zMag
-0.06,-0.45,0.88,3.17,2.62,-3.85,-14.84,23.79,-27.42
-0.06,-0.45,0.88,3.17,2.62,11.78,-14.84,23.79,-27.42
-0.00,-0.44,0.91,0.31,-1.10,1.65,-14.84,23.79,-27.42
-0.07,-0.49,0.88,-2.01,2.56,-7.63,-14.66,23.63,-27.11
-0.07,-0.49,0.88,-2.01,2.56,-11.17,-14.66,23.63,-27.11
-0.02,-0.53,0.86,-2.75,4.39,-11.17,-14.66,23.63,-27.11
-0.01,-0.50,0.86,-5.25,-0.18,-20.14,-14.66,23.63,-27.11
-0.01,-0.47,0.93,-29.79,-51.39,29.11,-16.87,23.19,-26.04
-0.01,-0.47,0.93,-29.79,-51.39,29.11,-16.87,23.19,-26.04
-0.06,-0.46,0.91,-31.74,-53.34,29.48,-16.87,23.19,-26.04
-0.12,-0.47,0.89,-33.87,-56.15,29.60,-19.87,24.55,-24.88
-0.11,-0.47,0.89,-33.87,-56.15,29.60,-19.87,24.55,-24.88
-0.14,-0.45,0.93,-40.59,-64.39,30.21,-19.87,24.55,-24.88
-0.14,-0.45,0.93,-40.59,-64.39,30.21,-19.87,24.55,-24.88
-0.20,-0.41,0.93,-45.23,-70.50,30.09,-19.87,24.55,-24.88
-0.20,-0.41,0.93,-49.32,-75.74,28.81,-19.87,24.55,-24.88
-0.28,-0.38,0.95,-49.32,-75.74,28.81,-19.87,24.55,-24.88
-0.17,-0.27,0.98,-53.41,-83.44,27.59,-19.87,24.55,-24.88
-0.17,-0.27,0.98,-53.41,-83.44,27.59,-19.87,24.55,-24.88
-0.15,-0.21,1.00,-58.23,-91.13,22.52,-19.87,24.55,-24.88
-0.15,-0.21,1.00,-58.23,-91.13,6.90,-23.30,24.07,-22.71
-0.24,-0.21,1.00,-65.49,-97.47,12.15,-23.30,24.07,-22.71
-0.27,-0.17,1.04,-70.01,-103.94,3.66,-23.30,24.07,-22.71
-0.27,-0.17,1.04,-70.01,-103.94,3.66,-23.30,24.07,-22.71
-0.28,-0.16,0.99,-69.64,-107.24,-5.68,-23.30,24.07,-22.71
-0.28,-0.16,0.99,-69.64,-107.24,-5.68,-23.30,24.07,-22.71
-0.29,-0.14,0.99,-69.89,-111.15,-15.50,-23.30,24.07,-22.71
-0.29,-0.14,0.99,-71.53,-116.39,-25.70,-23.30,24.07,-22.71
-0.35,-0.17,0.97,-71.53,-116.39,-25.70,-23.30,24.07,-22.71
-0.35,-0.17,0.95,-74.46,-122.62,-34.24,-23.30,24.07,-22.71
-0.35,-0.17,0.95,-74.46,-122.62,-34.24,-27.75,21.28,-19.41
-0.43,-0.20,0.92,-75.38,-126.40,-41.08,-27.75,21.28,-19.41
-0.43,-0.20,0.92,-75.38,-126.40,-44.98,-27.75,21.28,-19.41
-0.47,-0.19,0.94,-75.44,-129.52,-44.98,-27.75,21.28,-19.41
-0.48,-0.17,0.92,-77.76,-135.56,-48.65,-27.75,21.28,-19.41
-0.48,-0.17,0.92,-77.76,-135.56,-48.65,-27.75,21.28,-19.41
-0.46,-0.14,0.91,-74.65,-139.47,-51.21,-27.75,21.28,-19.41
-0.46,-0.14,0.91,-74.65,-139.47,-51.21,-27.75,21.28,-19.41
-0.48,-0.14,0.93,-73.97,-142.70,-53.83,-27.75,21.28,-19.41
-0.48,-0.14,0.93,-71.90,-144.84,-56.34,-27.75,21.28,-19.41
-0.51,-0.13,0.94,-71.90,-144.84,-56.34,-30.74,17.30,-13.48
-0.50,-0.14,1.02,-76.29,-150.15,-62.44,-30.74,17.30,-13.48
-0.50,-0.14,1.02,-76.29,-150.15,-62.44,-30.74,17.30,-13.48
-0.49,-0.16,1.06,-73.18,-146.48,-67.69,-30.74,17.30,-13.48
-0.49,-0.16,1.06,-73.18,-146.48,-67.69,-30.74,17.30,-13.48
-0.54,-0.21,1.07,-65.55,-133.73,-70.50,-30.74,17.30,-13.48
-0.63,-0.25,1.05,-60.97,-119.38,-68.30,-30.74,17.30,-13.48
-0.63,-0.25,1.05,-60.97,-119.38,-68.30,-30.74,17.30,-13.48
-0.66,-0.24,1.04,-60.42,-107.12,-60.79,-30.74,17.30,-13.48
-0.66,-0.24,1.04,-60.42,-107.12,-60.79,-30.74,17.30,-13.48
-0.65,-0.20,1.04,-64.64,-99.18,-52.12,-31.58,14.03,-7.74
-0.65,-0.20,1.04,-66.59,-90.33,-45.23,-31.58,14.03,-7.74
-0.60,-0.14,1.04,-66.59,-90.33,-45.23,-31.58,14.03,-7.74
-0.54,-0.09,1.04,-68.54,-82.09,-42.36,-31.58,14.03,-7.74
-0.54,-0.09,1.04,-68.54,-82.09,-42.36,-31.58,14.03,-7.74
-0.50,-0.06,1.03,-69.76,-73.85,-43.58,-31.58,14.03,-7.74
-0.50,-0.06,1.03,-69.76,-73.85,-46.08,-31.58,14.03,-7.74
-0.56,-0.09,0.99,-69.64,-65.37,-46.08,-31.58,14.03,-7.74
-0.58,-0.09,0.98,-71.11,-59.33,-45.90,-31.58,14.03,-7.74
-0.58,-0.09,0.98,-71.11,-59.33,-45.90,-31.58,14.03,-7.74
-0.55,-0.09,0.98,-71.29,-51.88,-43.76,-31.58,14.03,-4.50
-0.55,-0.09,0.98,-71.29,-51.88,-43.76,-31.63,12.10,-4.50
-0.54,-0.10,0.96,-71.78,-40.95,-43.03,-31.63,12.10,-4.50
-0.54,-0.10,0.96,-68.48,-27.28,-39.79,-31.63,12.10,-4.50
-0.56,-0.10,0.89,-68.48,-27.28,-39.79,-31.63,12.10,-4.50
-0.55,-0.10,0.84,-67.26,-18.13,-35.71,-31.63,12.10,-4.50
-0.55,-0.10,0.84,-67.26,-18.13,-35.71,-31.63,12.10,-4.50
-0.57,-0.08,0.80,-67.99,-14.40,-30.76,-31.63,12.10,-4.50
-0.57,-0.08,0.80,-67.99,-14.40,-30.76,-31.63,12.10,-4.50
-0.59,-0.05,0.77,-68.42,-13.73,-25.45,-31.63,12.10,-4.50
-0.59,-0.05,0.76,-69.40,-15.44,-20.02,-31.63,12.10,-4.50
-0.56,0.01,0.76,-69.40,-15.44,-20.02,-31.54,12.02,-2.92
-0.50,0.07,0.76,-69.82,-16.36,-16.78,-31.54,12.02,-2.92
-0.50,0.07,0.76,-69.82,-16.36,-16.78,-31.54,12.02,-2.92
-0.50,0.09,0.74,-68.79,-14.47,-16.54,-31.54,12.02,-2.92
-0.50,0.09,0.74,-68.79,-14.47,-16.97,-31.54,12.02,-2.92
-0.53,0.09,0.72,-65.86,-10.80,-16.97,-31.54,12.02,-2.92
-0.56,0.09,0.68,-61.83,-6.90,-15.81,-31.54,12.02,-2.92
-0.56,0.09,0.68,-61.83,-6.90,-15.81,-31.54,12.02,-2.92
-0.52,0.12,0.64,-58.72,-4.76,-13.37,-31.54,12.02,-2.92
-0.52,0.12,0.64,-58.72,-4.76,-13.37,-31.54,12.02,-2.92
-0.48,0.13,0.60,-55.48,-2.38,-12.45,-30.55,12.40,-1.20
-0.48,0.13,0.60,-51.39,-0.92,-11.41,-30.55,12.40,-1.20
-0.48,0.12,0.56,-51.39,-0.92,-11.41,-30.55,12.40,-1.20
-0.47,0.13,0.52,-45.23,-1.28,-9.09,-30.55,12.40,-1.20
-0.47,0.13,0.52,-45.23,-1.28,-9.09,-30.55,12.40,-1.20
-0.45,0.13,0.50,-40.47,-4.94,-6.77,-30.55,12.40,-1.20
